,TITLE,LINK
22,Theoretical Biology and Medical Modelling,http://apps-webofknowledge.ez91.periodicos.capes.gov.br.sbproxy.fgv.br/summary.do?product=WOS&doc=1&qid=23&SID=7DwcxaB359YHFGQ9vjs&search_mode=AdvancedSearch&update_back2search_link_param=yes
23,JOURNAL OF COMPUTATIONAL BIOLOGY,http://apps-webofknowledge.ez91.periodicos.capes.gov.br.sbproxy.fgv.br/summary.do?product=WOS&doc=1&qid=24&SID=7DwcxaB359YHFGQ9vjs&search_mode=AdvancedSearch&update_back2search_link_param=yes
24,MATHEMATICAL BIOSCIENCES,http://apps-webofknowledge.ez91.periodicos.capes.gov.br.sbproxy.fgv.br/summary.do?product=WOS&doc=1&qid=25&SID=7DwcxaB359YHFGQ9vjs&search_mode=AdvancedSearch&update_back2search_link_param=yes
25,SAR AND QSAR IN ENVIRONMENTAL RESEARCH,http://apps-webofknowledge.ez91.periodicos.capes.gov.br.sbproxy.fgv.br/summary.do?product=WOS&doc=1&qid=26&SID=7DwcxaB359YHFGQ9vjs&search_mode=AdvancedSearch&update_back2search_link_param=yes
26,BIOMETRICAL JOURNAL,http://apps-webofknowledge.ez91.periodicos.capes.gov.br.sbproxy.fgv.br/summary.do?product=WOS&doc=1&qid=27&SID=7DwcxaB359YHFGQ9vjs&search_mode=AdvancedSearch&update_back2search_link_param=yes
27,MATHEMATICAL MEDICINE AND BIOLOGY-A JOURNAL OF THE IMA,http://apps-webofknowledge.ez91.periodicos.capes.gov.br.sbproxy.fgv.br/summary.do?product=WOS&doc=1&qid=28&SID=7DwcxaB359YHFGQ9vjs&search_mode=AdvancedSearch&update_back2search_link_param=yes
28,COMPUTERS IN BIOLOGY AND MEDICINE,http://apps-webofknowledge.ez91.periodicos.capes.gov.br.sbproxy.fgv.br/summary.do?product=WOS&doc=1&qid=29&SID=7DwcxaB359YHFGQ9vjs&search_mode=AdvancedSearch&update_back2search_link_param=yes
29,Current Bioinformatics,http://apps-webofknowledge.ez91.periodicos.capes.gov.br.sbproxy.fgv.br/summary.do?product=WOS&doc=1&qid=30&SID=7DwcxaB359YHFGQ9vjs&search_mode=AdvancedSearch&update_back2search_link_param=yes
30,Computational and Mathematical Methods in Medicine,http://apps-webofknowledge.ez91.periodicos.capes.gov.br.sbproxy.fgv.br/summary.do?product=WOS&doc=1&qid=31&SID=7DwcxaB359YHFGQ9vjs&search_mode=AdvancedSearch&update_back2search_link_param=yes
31,JOURNAL OF AGRICULTURAL BIOLOGICAL AND ENVIRONMENTAL STATISTICS,http://apps-webofknowledge.ez91.periodicos.capes.gov.br.sbproxy.fgv.br/summary.do?product=WOS&doc=1&qid=32&SID=7DwcxaB359YHFGQ9vjs&search_mode=AdvancedSearch&update_back2search_link_param=yes
32,Mathematical Modelling of Natural Phenomena,http://apps-webofknowledge.ez91.periodicos.capes.gov.br.sbproxy.fgv.br/summary.do?product=WOS&doc=1&qid=33&SID=7DwcxaB359YHFGQ9vjs&search_mode=AdvancedSearch&update_back2search_link_param=yes
33,International Journal of Data Mining and Bioinformatics,http://apps-webofknowledge.ez91.periodicos.capes.gov.br.sbproxy.fgv.br/summary.do?product=WOS&doc=1&qid=34&SID=7DwcxaB359YHFGQ9vjs&search_mode=AdvancedSearch&update_back2search_link_param=yes
34,Statistics and Its Interface,http://apps-webofknowledge.ez91.periodicos.capes.gov.br.sbproxy.fgv.br/summary.do?product=WOS&doc=1&qid=35&SID=7DwcxaB359YHFGQ9vjs&search_mode=AdvancedSearch&update_back2search_link_param=yes
35,JOURNAL OF BIOLOGICAL SYSTEMS,http://apps-webofknowledge.ez91.periodicos.capes.gov.br.sbproxy.fgv.br/summary.do?product=WOS&doc=1&qid=36&SID=7DwcxaB359YHFGQ9vjs&search_mode=AdvancedSearch&update_back2search_link_param=yes
36,International Journal for Numerical Methods in Biomedical Engineering,http://apps-webofknowledge.ez91.periodicos.capes.gov.br.sbproxy.fgv.br/summary.do?product=WOS&doc=1&qid=37&SID=7DwcxaB359YHFGQ9vjs&search_mode=AdvancedSearch&update_back2search_link_param=yes
37,Molecular Informatics,http://apps-webofknowledge.ez91.periodicos.capes.gov.br.sbproxy.fgv.br/summary.do?product=WOS&doc=1&qid=38&SID=7DwcxaB359YHFGQ9vjs&search_mode=AdvancedSearch&update_back2search_link_param=yes
38,BRIEFINGS IN BIOINFORMATICS,http://apps-webofknowledge.ez91.periodicos.capes.gov.br.sbproxy.fgv.br/summary.do?product=WOS&doc=1&qid=39&SID=7DwcxaB359YHFGQ9vjs&search_mode=AdvancedSearch&update_back2search_link_param=yes
39,Database-The Journal of Biological Databases and Curation,http://apps-webofknowledge.ez91.periodicos.capes.gov.br.sbproxy.fgv.br/summary.do?product=WOS&doc=1&qid=40&SID=7DwcxaB359YHFGQ9vjs&search_mode=AdvancedSearch&update_back2search_link_param=yes
40,BIOSYSTEMS,http://apps-webofknowledge.ez91.periodicos.capes.gov.br.sbproxy.fgv.br/summary.do?product=WOS&doc=1&qid=41&SID=7DwcxaB359YHFGQ9vjs&search_mode=AdvancedSearch&update_back2search_link_param=yes
41,ACTA BIOTHEORETICA,http://apps-webofknowledge.ez91.periodicos.capes.gov.br.sbproxy.fgv.br/summary.do?product=WOS&doc=1&qid=42&SID=7DwcxaB359YHFGQ9vjs&search_mode=AdvancedSearch&update_back2search_link_param=yes
