,TITLE,LINK,ISSN
15,BIOMETRIKA,http://apps-webofknowledge.ez91.periodicos.capes.gov.br/summary.do?product=WOS&doc=1&qid=15&SID=7EqdZsH5sVmydwHbRCd&search_mode=AdvancedSearch&update_back2search_link_param=yes,0006-3444
16,MEDICAL & BIOLOGICAL ENGINEERING & COMPUTING,http://apps-webofknowledge.ez91.periodicos.capes.gov.br/summary.do?product=WOS&doc=1&qid=16&SID=7EqdZsH5sVmydwHbRCd&search_mode=AdvancedSearch&update_back2search_link_param=yes,0140-0118
17,STATISTICAL METHODS IN MEDICAL RESEARCH,http://apps-webofknowledge.ez91.periodicos.capes.gov.br/summary.do?product=WOS&doc=1&qid=17&SID=7EqdZsH5sVmydwHbRCd&search_mode=AdvancedSearch&update_back2search_link_param=yes,0962-2802
18,BIOMETRICS,http://apps-webofknowledge.ez91.periodicos.capes.gov.br/summary.do?product=WOS&doc=1&qid=18&SID=7EqdZsH5sVmydwHbRCd&search_mode=AdvancedSearch&update_back2search_link_param=yes,0006-341X
19,IET Systems Biology,http://apps-webofknowledge.ez91.periodicos.capes.gov.br/summary.do?product=WOS&doc=1&qid=19&SID=7EqdZsH5sVmydwHbRCd&search_mode=AdvancedSearch&update_back2search_link_param=yes,1751-8849
20,IEEE TRANSACTIONS ON INFORMATION TECHNOLOGY IN BIOMEDICINE,http://apps-webofknowledge.ez91.periodicos.capes.gov.br/summary.do?product=WOS&doc=1&qid=20&SID=7EqdZsH5sVmydwHbRCd&search_mode=AdvancedSearch&update_back2search_link_param=yes,1089-7771
21,International Journal of Biomathematics,http://apps-webofknowledge.ez91.periodicos.capes.gov.br/summary.do?product=WOS&doc=1&qid=21&SID=7EqdZsH5sVmydwHbRCd&search_mode=AdvancedSearch&update_back2search_link_param=yes,1793-5245
22,Theoretical Biology and Medical Modelling,http://apps-webofknowledge.ez91.periodicos.capes.gov.br/summary.do?product=WOS&doc=1&qid=22&SID=7EqdZsH5sVmydwHbRCd&search_mode=AdvancedSearch&update_back2search_link_param=yes,1742-4682
23,JOURNAL OF COMPUTATIONAL BIOLOGY,http://apps-webofknowledge.ez91.periodicos.capes.gov.br/summary.do?product=WOS&doc=1&qid=23&SID=7EqdZsH5sVmydwHbRCd&search_mode=AdvancedSearch&update_back2search_link_param=yes,1066-5277
24,MATHEMATICAL BIOSCIENCES,http://apps-webofknowledge.ez91.periodicos.capes.gov.br/summary.do?product=WOS&doc=1&qid=24&SID=7EqdZsH5sVmydwHbRCd&search_mode=AdvancedSearch&update_back2search_link_param=yes,0025-5564
25,SAR AND QSAR IN ENVIRONMENTAL RESEARCH,http://apps-webofknowledge.ez91.periodicos.capes.gov.br/summary.do?product=WOS&doc=1&qid=25&SID=7EqdZsH5sVmydwHbRCd&search_mode=AdvancedSearch&update_back2search_link_param=yes,1062-936X
26,BIOMETRICAL JOURNAL,http://apps-webofknowledge.ez91.periodicos.capes.gov.br/summary.do?product=WOS&doc=1&qid=26&SID=7EqdZsH5sVmydwHbRCd&search_mode=AdvancedSearch&update_back2search_link_param=yes,0323-3847
